"","Actor","Total.Gross","Num.Movies","Avg.Per.Movie","No.1.Movie","Gross.of.No.1.Movie"
"119","Sean 'P. Diddy' Combs",126.4,4,31.6,"Get Him to the Greek",61
"120","Common",843.3,16,52.7,"Wanted",134.5
"121","Jennifer Connelly",927.4,31,29.9,"A Beautiful Mind",170.7
"122","Sean Connery",1550.6,37,41.9,"Indiana Jones and the Last Crusade",197.2
"123","Steve Coogan",1720,24,71.7,"Despicable Me 2",368.1
"124","Sophie Cookson",128.3,1,128.3,"Kingsman",128.3
"125","Jennifer Coolidge",465.5,13,35.8,"Legally Blonde",96.5
"126","Bradley Cooper",2557.7,25,102.3,"American Sniper",350.1
"127","Chris Cooper",1507.6,32,47.1,"The Amazing Spider-Man 2",202.9
"128","Dominic Cooper",516.1,17,30.4,"Captain America",176.7
"129","Sharlto Copley",569.5,8,71.2,"Maleficent",241.4
"130","Sofia Coppola",66.7,1,66.7,"The Godfather Part III",66.7
"131","John Corbett",584.4,13,45,"My Big Fat Greek Wedding",241.4
"132","Abbie Cornish",284.9,12,23.7,"Limitless",79.2
"133","Kevin Costner",1918,37,51.8,"Man of Steel",291
"134","Jai Courtney",657.2,8,82.2,"Divergent",150.9
"135","Brian Cox",1775.2,43,41.3,"X2: X-Men United",214.9
"136","Courteney Cox",579.5,14,41.4,"Bedtime Stories",110.1
"137","Tony Cox",529.1,9,58.8,"Oz The Great and Powerful",234.9
"138","Daniel Craig",1558.5,24,64.9,"Skyfall",304.4
"139","Bryan Cranston",1015.6,14,72.5,"Madagascar 3",216.4
"140","Chace Crawford",78.3,4,19.6,"What to Expect When You're Expecting",41.2
"141","Amanda Crew",174.2,6,29,"The Haunting in Connecticut",55.4
"142","Russell Crowe",1681.2,31,54.2,"Man of Steel",291
"143","Billy Crudup",645.4,23,28.1,"Mission: Impossible III",134
"144","Tom Cruise",3587.2,36,99.6,"War of the Worlds",234.3
"145","Penelope Cruz",817.6,34,24,"Pirates of the Caribbean 4",241.1
"146","Billy Crystal",1358.6,19,71.5,"Monsters Inc.",289.9
"147","Ice Cube",1444.1,30,48.1,"22 Jump Street",191.7
"148","Macaulay Culkin",712.8,11,64.8,"Home Alone",285.8
"149","Rory Culkin",289.4,11,26.3,"Signs",228
"150","Benedict Cumberbatch",1229.3,14,87.8,"The Hobbit 2",258.4
"151","Kaley Cuoco",258.4,4,64.6,"Hop",108.1
"152","John Cusack",1157.6,48,24.1,"2012",166.1
"153","Miley Cyrus",321.9,4,80.5,"Bolt",114.1
"154","Willem Dafoe",1598.9,53,30.2,"Spider-Man",403.7
"155","Matt Damon",2951.1,38,77.7,"The Martian",228.4
"156","Claire Danes",552.8,23,24,"Terminator 3",150.4
"157","Anthony Daniels",3162.1,7,451.7,"Star Wars: The Force Awakens",935.8
"158","Paul Dano",597.4,25,23.9,"Cowboys & Aliens",100.2
"159","Alexa Davalos",278.7,5,55.7,"Clash of the Titans",163.2
"160","Jack Davenport",1164.1,8,145.5,"Dead Man's Chest",423.3
"161","Viola Davis",933.1,23,40.6,"The Help",169.7
"162","Rosario Dawson",914.5,33,27.7,"Men in Black II",190.4
"163","Charlie Day",549.4,5,109.9,"The LEGO Movie",257.8
"164","Daniel Day-Lewis",523.6,15,34.9,"Lincoln",182.2
"165","Emilie de Ravin",64,4,16,"The Hills Have Eyes",41.8
"166","Elizabeth Debicki",234.9,4,58.7,"The Great Gatsby",144.8
"167","Brooklyn Decker",209.6,3,69.9,"Just Go With It",103
"168","Ellen DeGeneres",426.3,5,85.3,"Finding Nemo",380.8
"169","Dane DeHaan",293.6,7,41.9,"The Amazing Spider-Man 2",202.9
"170","Thomas Dekker",112.4,5,22.5,"Nightmare on Elm Street",63.1
"171","Benicio Del Toro",948.5,31,30.6,"Guardians of the Galaxy",333.2
"172","Cara Delevigne",32,1,32,"Paper Towns",32
"173","Julie Delpy",80,15,5.3,"American Werewolf in Paris",26.6
"174","Judi Dench",1737.3,31,56,"Skyfall",304.4
"175","Robert DeNiro",3077.3,78,39.5,"Meet the Fockers",279.3
"176","Kat Dennings",672.2,11,61.1,"Thor: The Dark World",206.4
"177","Johnny Depp",3291.6,44,74.8,"Dead Man's Chest",423.3
"178","Eugenio Derbez",337,9,37.4,"Beverly Hills Chihuahua",94.5
"179","Zooey Deschanel",797.5,25,31.9,"Elf",173.4
"180","Adam DeVine",249.3,2,124.6,"Pitch Perfect 2",184.3
"181","Danny DeVito",1826.9,44,41.5,"The Lorax",214
"182","Jenna Dewan-Tatum",100.5,4,25.1,"Step Up",65.3
"183","Rosemarie DeWitt",164.5,14,11.7,"The Odd Life of Timothy Green",51.9
"184","Prabhu Dheva",NA,1,NA,"ABCD (Any Body Can Dance) 2",NA
"185","Cameron Diaz",3031.7,34,89.2,"Shrek 2",441.2
"186","Leonardo DiCaprio",2517.9,25,100.7,"Titanic",658.7
"187","Vin Diesel",2151.6,18,119.5,"Furious 7",353
"188","Matt Dillon",811,38,21.3,"Something About Mary",176.5
"189","Snoop Dogg",281.4,8,35.2,"Starsky and Hutch",88.2
"190","Martin Donovan",186.2,21,8.9,"Insomnia",67.4
"191","Portia Doubleday",88.6,4,22.2,"Big Mommas: Like Father Like Son",37.9
"192","Michael Douglas",1776.9,36,49.4,"Ant-Man",180.2
"193","Robert Downey Jr.",3539.3,52,68.1,"The Avengers",623.4
"194","David Duchovny",285.6,19,15,"X-Files",83.9
"195","Hilary Duff",402.3,10,40.2,"Cheaper by the Dozen",138.6
"196","Josh Duhamel",1336.1,13,102.8,"Transformers 2",402.1
"197","Clark Duke",353.7,8,44.2,"The Croods",187.2
"198","Michael Clarke Duncan",1201.7,21,57.2,"Armageddon",201.6
"199","Kirsten Dunst",1759.8,31,56.8,"Spider-Man",403.7
"200","Mark Duplass",114.9,4,28.7,"Tammy",84.5
"201","Robert Duvall",1814.4,55,33,"Deep Impact",140.5
"202","Michael Ealy",645.6,13,49.7,"Think Like a Man",91.5
"203","Clint Eastwood",1710.9,46,37.2,"Gran Torino",148.1
"204","Aaron Eckhart",1314,28,46.9,"The Dark Knight",534.9
"205","Zac Efron",852.4,16,53.3,"The Lorax",214
"206","Taron Egerton",145.8,3,48.6,"Kingsman",128.3
"207","Colin Egglesfield",39.1,2,19.6,"Something Borrowed",39
"208","Jesse Eisenberg",1127.1,25,45.1,"Batman v Superman",312
"209","Chiwetel Ejiofor",894.8,18,49.7,"The Martian",228.4
"210","Idris Elba",2138.7,25,85.5,"Avengers: Age of Ultron",459
"211","Ansel Elgort",506.1,6,84.3,"Divergent",150.9
"212","Sam Elliott",714.7,22,32.5,"Hulk",132.2
"213","Cary Elwes",1297.8,28,46.3,"Twister",241.7
"214","Mireille Enos",252.8,2,126.4,"World War Z",202.4
"215","Omar Epps",353.5,15,23.6,"Scream 2",101.4
"216","Chris Evans",2049.8,22,93.2,"The Avengers",623.4
"217","Alice Eve",559,15,37.3,"Star Trek Into Darkness",228.8
"218","Dakota Fanning",1407.7,22,64,"The Twilight Saga: Eclipse",300.5
"219","Anna Faris",1516.4,22,68.9,"Alvin and the Chipmunks 2",219.6
"220","Chris Farley",129.7,6,21.6,"Tommy Boy",32.7
"221","Vera Farmiga",675.2,23,29.4,"The Conjuring",137.4
"222","Colin Farrell",1095.9,31,35.4,"Minority Report",132.1
"223","Michael Fassbender",982.4,20,49.1,"X-Men: Days of Future Past",233.9
"224","Jon Favreau",1345.2,17,79.1,"Iron Man 3",409
"225","Shiloh Fernandez",102.5,7,14.6,"Evil Dead (2013)",54.2
"226","Will Ferrell",2166.9,31,69.9,"The LEGO Movie",257.8
"227","America Ferrera",574.6,14,41,"How to Train Your Dragon",217.6
"228","Tina Fey",640.7,11,58.2,"Megamind",148.4
"229","Sally Field",2072.1,28,74,"Forrest Gump",330.3
"230","Ralph Fiennes",2676.9,34,78.7,"Harry Potter / Deathly Hallows (P2)",381
"231","Jessica Brown Findlay",18.4,2,9.2,"Winter's Tale",12.6
"232","Colin Firth",1103.2,31,35.6,"Mamma Mia!",144.1
"233","Jenna Fischer",187.7,8,23.5,"Blades of Glory",118.6
"234","Laurence Fishburne",2200.2,36,61.1,"Batman v Superman",312
"235","Carrie Fisher",2257.7,17,132.8,"Star Wars: The Force Awakens",935.8
"236","Isla Fisher",1109.2,16,69.3,"Wedding Crashers",209.3
"237","Dan Fogler",355.4,11,32.3,"Horton Hears a Who!",154.5
"238","Harrison Ford",4870.9,41,118.8,"Star Wars: The Force Awakens",935.8
"239","Will Forte",267.6,12,22.3,"Cloudy with a Chance of Meatballs",124.9
"240","Ben Foster",400.4,18,22.2,"Lone Survivor",125.1
"241","Jodie Foster",1051.8,26,40.5,"Silence of the Lambs",130.7
"242","Megan Fox",1016.9,9,113,"Transformers 2",402.1
"243","Jamie Foxx",2025.4,29,69.8,"The Amazing Spider-Man 2",202.9
"244","Claire Foy",32.6,2,16.3,"Season of the Witch",24.8
"245","Cecile de France",67.3,8,8.4,"Hereafter",32.7
"246","James Franco",2103.9,37,56.9,"Spider-Man",403.7
"247","Brendan Fraser",1105.6,29,38.1,"Mummy Returns",202
"248","Morgan Freeman",4377.8,59,74.2,"The Dark Knight",534.9
"249","Anna Friel",169.4,11,15.4,"Limitless",79.2
"250","Nick Frost",395.3,11,35.9,"Snow White and the Huntsman",155.3
"251","Josh Gad",763,11,69.4,"Frozen",400.7
"252","Gal Gadot",1109.6,8,138.7,"Batman v Superman",312
"253","Zach Galifianakis",1332,16,83.3,"The Hangover",277.3
"254","Vincent Gallo",5.1,8,NA,"Buffalo '66",2.4
"255","James Gandolfini",578.2,28,20.6,"Crimson Tide",91.4
"256","Romola Garai",134.4,11,12.2,"Atonement",50.9
"257","Andrew Garfield",588.7,9,65.4,"The Amazing Spider-Man",262
"258","James Garner",481.5,13,37,"Maverick",101.6
"259","Jennifer Garner",976.2,20,48.8,"Juno",143.5
"260","Sarah Michelle Gellar",627.4,13,48.3,"Scooby-Doo",153.3
"261","Richard Gere",1408.8,42,33.5,"Pretty Woman",178.4
"262","Greta Gerwig",132.7,13,10.2,"No Strings Attached",70.7
"263","Paul Giamatti",1891.7,44,43,"The Hangover Part II",254.5
"264","Mel Gibson",2113.9,34,62.2,"Signs",228
"265","Tyrese Gibson",2248.6,15,149.9,"Transformers 2",402.1
"266","Cam Gigandet",440.6,11,40.1,"Twilight",192.8
"267","Karen Gillan",360.9,2,180.4,"Guardians of the Galaxy",333.2
"268","Brendan Gleeson",1773.4,41,43.3,"Harry Potter / Goblet of Fire",290
"269","Danny Glover",1490.2,41,36.3,"2012",166.1
"270","Jeff Goldblum",1373.4,21,65.4,"Jurassic Park",402.5
"271","Selena Gomez",392.1,7,56,"Hotel Transylvania 2",169.7
"272","Matthew Goode",305.9,13,23.5,"Watchmen",107.5
"273","Cuba Gooding Jr.",1335,28,47.7,"Pearl Harbor",198.5
"274","Ginnifer Goodwin",623.9,9,69.3,"Zootopia",307.9
"275","Keith Gordon",91.3,1,91.3,"Back to School",91.3
"276","Zachary Gordon",165.7,3,55.2,"Diary of a Wimpy Kid",64
"277","Joseph Gordon-Levitt",1557,33,47.2,"The Dark Knight Rises",448.1
"278","Ryan Gosling",474.1,18,26.3,"Crazy Stupid Love.",84.4
"279","Topher Grace",796,13,61.2,"Spider-Man 3",336.5
"280","Kelsey Grammer",611.6,11,55.6,"Transformers 4",245.4
"281","Hugh Grant",903.1,27,33.4,"Notting Hill",116.1
"282","Eva Green",487.7,11,44.3,"Casino Royale",167.4
"283","Seth Green",962.8,20,48.1,"Goldmember",213.3
"284","Ashley Greene",1368.8,10,136.9,"The Twilight Saga: Eclipse",300.5
"285","Clark Gregg",1599.3,15,106.6,"The Avengers",623.4
"286","Rupert Grint",2390.5,13,183.9,"Harry Potter / Deathly Hallows (P2)",381
"287","Ioan Gruffudd",631.2,14,45.1,"San Andreas",155.2
"288","Christopher Guest",182.8,2,91.4,"Night at the Museum II",177.2
"289","Ryan Guzman",85.4,3,28.5,"The Boy Next Door",35.4
"290","Jake Gyllenhaal",886.2,23,38.5,"The Day After Tomorrow",186.7
"291","Maggie Gyllenhaal",976.7,26,37.6,"The Dark Knight",534.9
"292","Lukas Haas",442.8,22,20.1,"The Revenant",183.2
"293","Corey Haim",141.1,10,14.1,"The Lost Boys",32.2
"294","Jackie Earle Haley",622.6,15,41.5,"Shutter Island",128
"295","Rebecca Hall",676.2,15,45.1,"Iron Man 3",409
"296","Regina Hall",823.7,15,54.9,"Scary Movie",157
"297","Mark Hamill",2172.3,11,197.5,"Star Wars: The Force Awakens",935.8
"298","Linda Hamilton",264.1,5,52.8,"Terminator 2",204.8
"299","Jon Hamm",722.2,11,65.7,"Minions",336
"300","Armie Hammer",334.3,6,55.7,"The Social Network",97
"301","Tom Hanks",4336.5,43,100.8,"Toy Story 3",415
"302","Tom Hardy",1274.7,18,70.8,"The Dark Knight Rises",448.1
"303","Woody Harrelson",2469,48,51.4,"Catching Fire",424.7
"304","Ed Harris",1771.6,49,36.2,"National Treasure: Book of Secrets",220
"305","Jamie Harris",314.4,7,44.9,"Rise of the Planet of the Apes",176.8
"306","Jared Harris",851.5,27,31.5,"Sherlock Holmes 2",186.8
"307","Naomie Harris",1500.9,15,100.1,"Dead Man's Chest",423.3
"308","Neil Patrick Harris",811.5,14,58,"Gone Girl",167.8
"309","Kevin Hart",923.9,18,51.3,"Ride Along",134.9
"310","Josh Hartnett",678.4,18,37.7,"Pearl Harbor",198.5
"311","Anne Hathaway",2339.4,24,97.5,"The Dark Knight Rises",448.1
"312","Rutger Hauer",246.2,26,9.5,"Sin City",74.1
"313","Ethan Hawke",685.5,41,16.7,"Dead Poets Society",95.9
"314","Sally Hawkins",336.7,15,22.4,"Godzilla",200.7
"315","Lena Headey",554,21,26.4,"300",210.6
"316","Amber Heard",290.1,14,20.7,"Pineapple Express",87.3
"317","Jon Heder",348.1,8,43.5,"Blades of Glory",118.6
"318","Garrett Hedlund",596.4,12,49.7,"Tron Legacy",172.1
"319","Katherine Heigl",745.7,16,46.6,"Knocked Up",148.8
"320","Ed Helms",1131.7,11,102.9,"The Hangover",277.3
"321","Chris Hemsworth",1846.4,13,142,"The Avengers",623.4
"322","Liam Hemsworth",1686.9,9,187.4,"Catching Fire",424.7
"323","Lance Henriksen",548.4,24,22.9,"Scream 3",89.1
"324","Taraji P. Henson",924.6,18,51.4,"The Karate Kid",176.6
"325","Katharine Hepburn",194.2,3,64.7,"On Golden Pond",119.3
"326","Werner Herzog",80.4,4,20.1,"Jack Reacher",80.1
"327","Jennifer Love Hewitt",333.6,12,27.8,"Garfield",75.4
"328","Tom Hiddleston",1214.2,12,101.2,"The Avengers",623.4
"329","Freddie Highmore",404.6,8,50.6,"Charlie and the Chocolate Factory",206.5
"330","Jonah Hill",2479,27,91.8,"The LEGO Movie",257.8
"331","Dustin Hoffman",2519.9,42,60,"Meet the Fockers",279.3
"332","Philip Seymour Hoffman",2182,39,55.9,"Catching Fire",424.7
"333","Boyd Holbrook",58.1,4,14.5,"Run All Night",26.5
"334","Tom Holland",64.6,4,16.2,"In the Heart of the Sea",25
"335","Ian Holm",1307.6,30,43.6,"Return of the King",377.8
"336","Katie Holmes",573.7,22,26.1,"Batman Begins",206.9
"337","Anthony Hopkins",2033.1,52,39.1,"Mission: Impossible II",215.4
"338","Cody Horn",154.9,4,38.7,"Magic Mike",113.7
"339","Thomas Horn",31.8,1,31.8,"Extremely Loud & Incredibly Close",31.8
"340","Julianne Hough",201.1,4,50.3,"Safe Haven",71.3
"341","Nicholas Hoult",729,10,72.9,"X-Men: Days of Future Past",233.9
"342","Whitney Houston",261.6,4,65.4,"Bodyguard",122
"343","Bryce Dallas Howard",1382.8,8,172.9,"Jurassic World",652.3
"344","Ron Howard",139.1,4,34.8,"American Graffiti",115
"345","Terrence Howard",1399,33,42.4,"Iron Man",318.4
"346","Vanessa Hudgens",287.4,8,35.9,"Journey 2",103.9
"347","Kate Hudson",721.9,24,30.1,"Kung Fu Panda 3",141.3
"348","Bonnie Hunt",1555.5,18,86.4,"Zootopia",307.9
"349","Helen Hunt",996.9,20,49.8,"Twister",241.7
"350","Holly Hunter",1068.3,27,39.6,"Batman v Superman",312
"351","Rosie Huntington-Whiteley",506,2,253,"Transformers 3",352.4
"352","William Hurt",852.6,26,32.8,"The Incredible Hulk",134.8
"353","Josh Hutcherson",2094.7,17,123.2,"Catching Fire",424.7
"354","Rhys Ifans",601.5,26,23.1,"The Amazing Spider-Man",262
"355","Dustin Ingram",104.1,2,52,"Paranormal Activity 3",104
"356","Jeremy Irons",1146.2,22,52.1,"Lion King",422.8
"357","Max Irons",97.6,4,24.4,"Red Riding Hood",37.7
"358","Tony Jaa",369.7,6,61.6,"Furious 7",353
"359","Hugh Jackman",2289.1,25,91.6,"X-Men: The Last Stand",234.4
"360","Brandon T. Jackson",407.9,8,51,"Tropic Thunder",110.5
"361","Quinton 'Rampage' Jackson",77.3,2,38.7,"The A-Team",77.2
"362","Samuel L. Jackson",4646.8,68,68.3,"The Avengers",623.4
"363","Kevin James",1390,13,106.9,"Hitch",179.5
"364","Theo James",407.6,4,101.9,"Divergent",150.9
"365","Thomas Jane",208.5,17,12.3,"Deep Blue Sea",73.6
"366","Famke Janssen",1428.6,31,46.1,"X-Men: The Last Stand",234.4
"367","Jim Jarmusch",1.3,1,1.3,"Blue in the Face",1.3
"368","Scarlett Johansson",2679.7,36,74.4,"The Avengers",623.4
"369","Aaron Johnson",861.8,10,86.2,"Avengers: Age of Ultron",459
"370","Dwayne Johnson",2147.4,22,97.6,"Furious 7",353
"371","Jake Johnson",811.1,9,90.1,"Jurassic World",652.3
"372","Angelina Jolie",2177.3,32,68,"Maleficent",241.4
"373","Felicity Jones",50.1,10,5,"The Theory of Everything",35.9
"374","January Jones",378.1,9,42,"X-Men: First Class",146.4
"375","Rashida Jones",357.9,11,32.5,"The Social Network",97
"376","Tommy Lee Jones",2501,44,56.8,"Men in Black",250.7
"377","Michael B. Jordan",272.6,5,54.5,"Creed",109.8
"378","Seu Jorge",36.1,6,6,"The Life Aquatic",24
"379","Milla Jovovich",504.2,24,21,"Fifth Element",63.8
"380","Ashley Judd",1044.2,27,38.7,"Divergent",150.9
"381","Miranda July",4.5,2,2.2,"Me and You and Everyone We Know",3.9
"382","Mindy Kaling",470.9,3,157,"Inside Out",356.5
"383","Philip Kaufman",163.2,7,23.3,"Rising Sun",63.2
"384","Zoe Kazan",197.2,14,14.1,"It's Complicated",112.7
"385","Diane Keaton",1239.2,37,33.5,"The Godfather",135
"386","Michael Keaton",2126.1,35,60.7,"Toy Story 3",415
"387","Minka Kelly",37.3,1,37.3,"The Roommate",37.3
"388","Alex Kendrick",78.2,3,26.1,"Courageous",34.5
"389","Anna Kendrick",674.2,17,39.7,"Pitch Perfect 2",184.3
"390","Irrfan Khan",1187,7,169.6,"Jurassic World",652.3
"391","Nicole Kidman",1664.6,42,39.6,"Happy Feet",198
"392","Val Kilmer",1040.9,34,30.6,"Batman Forever",184
"393","Joey King",559.5,6,93.3,"Oz The Great and Powerful",234.9
"394","Ben Kingsley",1809.7,50,36.2,"Iron Man 3",409
"395","Greg Kinnear",1147.4,34,33.7,"As Good as It Gets",148.5
"396","Taylor Kitsch",551.7,8,69,"X-Men Origins: Wolverine",179.9
"397","Chris Klein",481.6,14,34.4,"American Pie 2",145.1
"398","Kevin Kline",991.7,38,26.1,"Wild Wild West",113.8
"399","Keira Knightley",1533.7,24,63.9,"Dead Man's Chest",423.3
"400","Beyonce Knowles",613.1,7,87.6,"Goldmember",213.3
"401","Johnny Knoxville",930.1,15,62,"Ninja Turtles",191.2
"402","Boris Kodjoe",286.4,8,35.8,"Madea's Family Reunion",63.3
